timestamp,lat,lon,BT_11,BT_12,BTD,Cloud_Mask_Binary,Cloud_Mask_Raw,CTT,CTH,Cloud_Phase,GPM_precipitation_rate
2022-11-20 04:35:00,10.018386,85.56208,287.56,285.91,1.64,1.0,0.0,290.33,2050.0,6.0,1.2200000286102295
2022-11-20 17:00:00,10.018467,77.17765,287.73,287.42,0.31,0.0,2.0,,,0.0,0.3100000023841858
2022-11-19 16:20:00,10.018652,85.499695,265.76,264.56,1.21,1.0,0.0,270.62,5350.0,6.0,1.6399999856948853
2022-11-24 04:00:00,10.018858,94.51036,198.77,198.56,0.22,1.0,0.0,194.85,16100.0,2.0,1.3399999141693115
2022-11-19 16:20:00,10.018921,86.80026,211.67,211.22,0.45,1.0,0.0,208.45,13900.0,2.0,0.1400000005960464
2022-11-24 04:00:00,10.018943,95.43385,205.02,204.7,0.32,1.0,0.0,200.74,14950.0,2.0,7.559999942779541
2022-11-24 04:00:00,10.019091,93.25606,216.22,215.61,0.61,1.0,0.0,211.29,13500.0,2.0,1.5299999713897705
2022-11-20 04:35:00,10.019588,85.24164,271.51,268.84,2.67,1.0,0.0,223.82,12150.0,2.0,1.3799999952316284
2022-11-19 16:20:00,10.019648,84.86783,238.71,235.21,3.5,1.0,0.0,193.7,15750.0,2.0,0.8700000047683716
2022-11-22 15:05:00,10.019786,95.019325,217.86,217.69,0.16,1.0,0.0,216.77,12800.0,2.0,0.4099999964237213
2022-11-24 04:00:00,10.019811,92.92799,222.64,222.38,0.26,1.0,0.0,214.27,13150.0,2.0,0.1499999910593032
2022-11-22 04:20:00,10.019839,96.053154,215.78,215.77,0.01,1.0,0.0,217.41,12800.0,2.0,4.0
2022-11-20 17:00:00,10.019853,78.20364,256.61,254.39,2.22,1.0,0.0,220.09,12450.0,2.0,0.0599999986588954
2022-11-19 16:20:00,10.019892,85.82625,265.23,262.62,2.61,1.0,0.0,202.48,14650.0,2.0,3.5299999713897705
2022-11-19 05:30:00,10.020004,78.6487,227.63,227.4,0.23,1.0,0.0,216.26,12800.0,2.0,0.0199999995529651
